Fold,Ordem,Frequencia_Hz
1,1,240.0
1,2,276.0
1,3,180.0
1,4,396.0
1,5,5040.0
1,6,5700.0
1,7,120.0
1,8,480.0
1,9,6060.0
1,10,5880.0
1,11,6360.0
1,12,1920.0
1,13,5520.0
1,14,6000.0
2,1,240.0
2,2,276.0
2,3,180.0
2,4,5100.0
2,5,480.0
2,6,5040.0
2,7,120.0
2,8,396.0
2,9,5880.0
2,10,5520.0
2,11,5700.0
2,12,5820.0
2,13,5640.0
2,14,6360.0
3,1,240.0
3,2,276.0
3,3,180.0
3,4,5040.0
3,5,480.0
3,6,120.0
3,7,396.0
3,8,5520.0
3,9,6060.0
3,10,5700.0
3,11,6420.0
3,12,5640.0
3,13,6300.0
3,14,6360.0
4,1,240.0
4,2,180.0
4,3,276.0
4,4,5040.0
4,5,120.0
4,6,480.0
4,7,5520.0
4,8,5700.0
4,9,5640.0
4,10,5340.0
4,11,396.0
4,12,6000.0
4,13,6060.0
4,14,5880.0
5,1,240.0
5,2,276.0
5,3,180.0
5,4,120.0
5,5,5040.0
5,6,5700.0
5,7,480.0
5,8,396.0
5,9,5520.0
5,10,5460.0
5,11,5880.0
5,12,5640.0
5,13,5580.0
5,14,6060.0
