,precision,recall,f1-score,support
capc,1.0,1.0,1.0,100.0
har,1.0,1.0,1.0,100.0
normal,0.9428571428571428,0.99,0.9658536585365853,100.0
notch,1.0,1.0,1.0,100.0
sag,0.5,0.44,0.46808510638297873,100.0
spike,1.0,1.0,1.0,100.0
swell,0.5046728971962616,0.54,0.5217391304347826,100.0
accuracy,0.8528571428571429,0.8528571428571429,0.8528571428571429,0.8528571428571429
macro avg,0.8496471485790578,0.852857142857143,0.8508111279077637,700.0
weighted avg,0.8496471485790577,0.8528571428571429,0.8508111279077639,700.0
