Fold,Ordem,Caracteristica,Fisher_Score
1,1,D2_max,15.11427982897939
1,2,D3_energia,14.102336141290316
1,3,D4_entropia,9.167210545794969
1,4,D5_energia,7.227537592321721
1,5,D1_max,5.53071877552495
1,6,D2_energia,4.2890186668829635
1,7,D1_desvio,3.621272910559414
1,8,D3_entropia,3.4991886742620313
1,9,A6_energia,3.473649047016846
1,10,D6_energia,3.472864054334451
1,11,D5_entropia,3.3069455961242538
1,12,A6_max,3.125745835044587
1,13,A6_energia_relativa,3.089629202624572
1,14,D6_energia_relativa,3.0760522518972806
2,1,D2_max,14.313665487989317
2,2,D3_energia,13.881306857185656
2,3,D4_entropia,9.101619882737687
2,4,D5_energia,6.950525160909607
2,5,D1_max,5.342018285265326
2,6,D2_energia,4.12702381657876
2,7,A6_energia,3.6554643335165107
2,8,D6_energia,3.571324679822489
2,9,D1_desvio,3.56393485188728
2,10,D3_entropia,3.4430183170242663
2,11,A6_max,3.3359677244458545
2,12,D5_entropia,3.2970384681923215
2,13,D4_max,3.0809360077893517
2,14,A6_energia_relativa,2.832171022934823
3,1,D2_max,16.67898131885072
3,2,D3_energia,11.787851369817355
3,3,D4_entropia,9.618196357817014
3,4,D5_energia,6.822239061024979
3,5,D1_max,5.03968766518159
3,6,D2_energia,4.512880198560174
3,7,D1_desvio,3.7765005291537177
3,8,D3_entropia,3.711146096934372
3,9,A6_energia,3.6076756902146414
3,10,D6_energia,3.5951568808646166
3,11,A6_max,3.2511172312019423
3,12,D5_entropia,3.1369652917838677
3,13,A6_energia_relativa,2.891211494959376
3,14,D4_max,2.8018673590803105
4,1,D2_max,17.418311111212176
4,2,D3_energia,11.65729212391356
4,3,D4_entropia,8.543621572672944
4,4,D5_energia,6.516157602537606
4,5,D1_max,4.797188129810793
4,6,D2_energia,4.044191030124042
4,7,A6_energia,3.7186830665095676
4,8,D1_desvio,3.619394265896205
4,9,D6_energia,3.600238806231269
4,10,A6_max,3.5071537462100366
4,11,D3_entropia,3.422505724272274
4,12,D4_max,3.0462650088549283
4,13,D5_entropia,2.958689461999691
4,14,A6_energia_relativa,2.838771128971201
5,1,D2_max,14.942274774201005
5,2,D3_energia,13.263098084216752
5,3,D4_entropia,9.149841366251554
5,4,D5_energia,7.80815201684073
5,5,D1_max,5.004386150282333
5,6,D2_energia,4.039166909236344
5,7,A6_energia,3.4817503464083526
5,8,D3_entropia,3.442361324437576
5,9,D6_energia,3.4278651717499042
5,10,D1_desvio,3.3973338002269737
5,11,D5_entropia,3.185618866218971
5,12,A6_max,3.1117650773790846
5,13,D4_max,3.042686261860212
5,14,A6_energia_relativa,2.9687660339539503
