id,classe,vizinho_mais_proximo,classe_vizinho,distancia,mesma_classe
capc_000,capc,normal_070,normal,39.69074220369895,False
capc_001,capc,normal_094,normal,42.14580391883692,False
capc_002,capc,normal_089,normal,35.82951841239323,False
capc_003,capc,normal_079,normal,38.33139208809088,False
capc_004,capc,capc_089,capc,73.28731820573545,True
capc_005,capc,normal_069,normal,42.086383525546196,False
capc_006,capc,normal_088,normal,42.36817910420474,False
capc_007,capc,normal_036,normal,37.706148492362175,False
capc_008,capc,notch_047,notch,63.21474871031003,False
capc_009,capc,normal_088,normal,34.714043743254116,False
capc_010,capc,notch_071,notch,49.90027032121,False
capc_011,capc,normal_078,normal,37.33076464918932,False
capc_012,capc,normal_093,normal,30.82228306803857,False
capc_013,capc,notch_083,notch,40.546703712289,False
capc_014,capc,normal_093,normal,40.054009544269825,False
capc_015,capc,normal_072,normal,37.36924415747002,False
capc_016,capc,normal_087,normal,40.81790812705902,False
capc_017,capc,normal_068,normal,38.31635866580496,False
capc_018,capc,capc_063,capc,36.10049414027976,True
capc_019,capc,normal_086,normal,41.35309122909455,False
capc_020,capc,normal_076,normal,38.504487878646536,False
capc_021,capc,normal_083,normal,43.852029033373114,False
capc_022,capc,normal_075,normal,37.063685600136914,False
capc_023,capc,notch_058,notch,65.6927061250144,False
capc_024,capc,normal_073,normal,57.03541718778014,False
capc_025,capc,normal_067,normal,30.948604777054594,False
capc_026,capc,capc_056,capc,41.96784890501998,True
capc_027,capc,normal_083,normal,48.63450617775746,False
capc_028,capc,normal_040,normal,42.85352036463727,False
capc_029,capc,normal_099,normal,44.911315419154406,False
capc_030,capc,normal_071,normal,32.46964668707589,False
capc_031,capc,notch_071,notch,50.52949059496878,False
capc_032,capc,normal_072,normal,39.69945708178845,False
capc_033,capc,normal_096,normal,51.65742571245386,False
capc_034,capc,normal_089,normal,35.39876333827457,False
capc_035,capc,normal_095,normal,22.96217059769283,False
capc_036,capc,normal_090,normal,23.192780567054474,False
capc_037,capc,normal_084,normal,34.9368843041028,False
capc_038,capc,normal_091,normal,23.21661343428878,False
capc_039,capc,notch_078,notch,51.718596242462034,False
capc_040,capc,normal_072,normal,25.333478299279193,False
capc_041,capc,normal_082,normal,30.76826657144862,False
capc_042,capc,normal_075,normal,31.65558558371672,False
capc_043,capc,normal_079,normal,47.972630794611376,False
capc_044,capc,normal_082,normal,30.696450416582785,False
